acc_x,acc_y,acc_z
-0.013356,0.012094,9.821826
-0.014360,0.012296,9.821956
-0.013540,0.013313,9.823282
-0.012539,0.012976,9.823735
-0.014061,0.012966,9.822570
-0.015416,0.011010,9.822656
-0.013233,0.012157,9.823546
-0.012708,0.013048,9.822161
-0.014593,0.010435,9.822322
-0.013576,0.011890,9.822404
-0.013305,0.012169,9.823148
-0.013779,0.011401,9.822539
-0.013891,0.010256,9.822707
-0.012289,0.012510,9.824141
-0.013976,0.011929,9.823331
-0.013447,0.011738,9.822228
-0.013115,0.011262,9.822865
-0.012830,0.010348,9.822787
-0.013948,0.012179,9.822444
-0.012987,0.011639,9.822633
-0.013041,0.010750,9.822680
-0.014824,0.011487,9.822558
-0.012993,0.010804,9.822775
-0.013779,0.010970,9.822423
-0.013259,0.011134,9.822802
-0.013291,0.011055,9.822806
-0.012852,0.011177,9.821675
-0.014816,0.010053,9.821976
-0.013395,0.010892,9.823038
-0.010930,0.011298,9.823192
-0.014554,0.011494,9.822625
-0.015104,0.010723,9.822495
-0.013736,0.010824,9.822405
-0.013030,0.010440,9.823148
-0.013336,0.010727,9.822176
-0.013635,0.011279,9.822032
-0.014585,0.009591,9.823149
-0.012888,0.011642,9.822212
-0.012503,0.011227,9.823159
-0.014408,0.009736,9.823535
-0.013055,0.010692,9.821862
-0.013177,0.008966,9.822433
-0.013408,0.010308,9.822566
-0.014103,0.011374,9.823727
-0.013201,0.009899,9.822961
-0.013524,0.010462,9.821977
-0.014134,0.008277,9.821737
-0.013420,0.009969,9.822486
-0.013603,0.011127,9.823155
-0.012826,0.009087,9.823875
-0.014402,0.009231,9.822029
-0.012377,0.008644,9.823266
-0.012930,0.009157,9.822623
-0.015014,0.010732,9.822732
-0.013555,0.008748,9.823598
-0.012766,0.009245,9.821912
-0.012540,0.009709,9.822903
-0.012515,0.008576,9.822685
-0.014042,0.009352,9.822216
-0.011721,0.009367,9.823626
-0.012923,0.009181,9.823441
-0.013466,0.009094,9.823343
-0.012099,0.009418,9.824008
-0.013694,0.009485,9.822965
-0.013018,0.008110,9.822500
-0.013169,0.009075,9.823675
-0.012403,0.010052,9.822895
-0.012388,0.008536,9.824160
-0.012950,0.008894,9.822640
-0.013146,0.007699,9.822416
-0.012991,0.009049,9.821561
-0.012208,0.008462,9.822879
-0.011988,0.008852,9.822993
-0.012994,0.009905,9.822907
-0.012891,0.007639,9.822681
-0.011925,0.008189,9.821945
-0.012233,0.008183,9.822581
-0.011836,0.007894,9.824749
-0.013735,0.008699,9.822720
-0.012372,0.008092,9.822975
-0.011165,0.007125,9.823148
-0.011921,0.007064,9.822752
-0.012635,0.007758,9.823542
-0.011993,0.008452,9.823234
-0.011980,0.007325,9.822973
-0.012367,0.007846,9.822726
-0.012840,0.007660,9.822207
-0.011990,0.007805,9.823107
-0.012945,0.007389,9.823422
-0.011643,0.008308,9.822804
-0.010736,0.008096,9.822985
-0.013092,0.006741,9.822292
-0.012778,0.008149,9.822770
-0.011855,0.006123,9.823609
-0.011676,0.007966,9.824248
-0.011240,0.007425,9.823568
-0.013214,0.007182,9.822542
-0.012796,0.007322,9.822625
-0.011937,0.006061,9.823852
-0.011463,0.008031,9.823084
-0.012149,0.007237,9.824607
-0.012525,0.006417,9.822599
-0.013665,0.006500,9.822678
-0.012895,0.006367,9.823677
-0.010734,0.007002,9.823917
-0.012063,0.007213,9.822912
-0.013271,0.006701,9.821642
-0.011701,0.005554,9.822358
-0.013482,0.006190,9.822964
-0.011752,0.006422,9.823954
